id,subject,treatment,fov,cell_type,roi_num,branch,spine,eventrate_pre,eventrate_post,amplitude_pre,amplitude_post,frequency_pre,frequency_post
2,Pons-2,psilocybin,FOV1,PT,106,7,NaN,0.447188386,1.087935925,1.089430894,1.278431373,0.410478892,0.850992825
2,Pons-2,psilocybin,FOV1,PT,118,8,NaN,0.478892041,0.889370933,1.116731518,1.153679654,0.428833639,0.770899383
2,Pons-2,psilocybin,FOV1,PT,134,9,NaN,0.702486234,1.176372435,1.565055762,1.453608247,0.448857,0.80927749
2,Pons-2,psilocybin,FOV1,PT,146,10,NaN,1.60353746,2.105790088,1.593698176,1.641092328,1.00617387,1.283163691
2,Pons-2,psilocybin,FOV2,PT,1,1,NaN,1.241448356,1.46504255,1.227722772,1.304606241,1.01117971,1.122976806
2,Pons-2,psilocybin,FOV2,PT,17,2,NaN,1.778741866,2.399466044,1.507779349,1.561346363,1.179709661,1.536792925
2,Pons-2,psilocybin,FOV2,PT,40,3,NaN,0.981144669,1.571833806,1.069090909,1.192405063,0.91773736,1.318204572
2,Pons-2,psilocybin,FOV2,PT,56,4,NaN,0.390455531,0.839312531,1.29281768,1.309895833,0.302019022,0.640747539
2,Pons-2,psilocybin,FOV2,PT,83,5,NaN,0.954446855,1.576839646,1.419354839,1.412556054,0.672451193,1.116302353
2,Pons-2,psilocybin,FOV2,PT,102,6,NaN,1.573502419,1.822125813,1.360750361,1.331707317,1.156349074,1.368262973
2,Pons-2,psilocybin,FOV2,PT,112,7,NaN,1.505089271,1.708660103,1.528813559,1.510324484,0.984481896,1.131319873
2,Pons-2,psilocybin,FOV2,PT,131,8,NaN,0.624061405,1.331553479,1.161490683,1.46961326,0.537293509,0.906057067
2,Pons-2,psilocybin,FOV2,PT,149,9,NaN,1.004505256,1.438344736,1.436754177,1.429519071,0.699149007,1.00617387
2,Pons-2,psilocybin,FOV2,PT,168,10,NaN,1.890538962,1.837143334,1.498677249,1.281722934,1.261471717,1.433338895
2,Pons-2,saline,FOV1,PT,1,1,NaN,1.163023527,1.019522777,1.464285714,1.363839286,0.79425997,0.747538795
