mouse_id,sex,treatment,genotype,cell_id,branch_id,multibranch_id,soma_depth,fov,day_-1,day_1,day_3
KO 3042,m,psilocybin,ko,cell2,cell2_1,NA,589,FOV3-1,0,-0.066666667,-0.008333333
KO 3042,m,psilocybin,ko,cell1,cell1_2,cell1_2,555,FOV4-1,0,0.055555556,0.055555556
KO 3042,m,psilocybin,ko,cell1,cell1_3,cell1_3,555,FOV4-2,0,-0.055147059,0.007352941
KO 3042,m,psilocybin,ko,cell7,cell7_1,NA,504,FOV6-1,0,-0.214285714,-0.037815126
KO 3042,m,psilocybin,ko,NA,NA,NA,NA,FOV6-2,0,-0.1,0.1
KO 3042,m,psilocybin,ko,cell6,cell6_1,NA,570,FOV7-1,0,-0.117647059,0.058823529
KO 3042,m,psilocybin,ko,cell4,cell4_1,NA,533,FOV10-1,0,-0.176470588,-0.113970588
KO 3042,m,psilocybin,ko,NA,NA,NA,NA,FOV10-2,0,0.111111111,0.125
KO 3042,m,psilocybin,ko,cell11,cell11_1,NA,750+,FOV11-1,0,-0.181818182,0.04040404
KO 807,f,psilocybin,ko,cell2,cell2_1,cell2_1,630,FOV1-1,0,0.133333333,-0.066666667
KO 807,f,psilocybin,ko,cell2,cell2_2,cell2_2,630,FOV3-1,0,-0.153846154,-0.010989011
KO 807,f,psilocybin,ko,cell1,cell1_1,cell1_1,750,FOV6-1,0,-0.066666667,-0.256410256
KO 807,f,psilocybin,ko,cell1,cell1_2,cell1_2,750,FOV9-1,0,0.042857143,-0.044444444
KO 807,f,psilocybin,ko,cell2,cell2_3,cell2_3,630,FOV10-1,0,0.176470588,0.2
KO 807,f,psilocybin,ko,cell1,cell1_3,cell1_3,750,FOV12-1,0,-0.173076923,-0.178571429
KO 807,f,psilocybin,ko,cell4,cell4_1,cell4_1,630,FOV17-1,0,0.080952381,-0.133333333
KO 807,f,psilocybin,ko,cell4,cell4_2,cell4_2,630,FOV19-1,0,0,0
KO 807,f,psilocybin,ko,cell4,cell4_3,cell4_3,630,FOV19-2,0,0.158371041,0.065934066
KO 807,f,psilocybin,ko,cell4,cell4_4,cell4_4,630,FOV21-1,0,0.333333333,0.333333333
KO 807,f,psilocybin,ko,NA,NA,NA,NA,FOV23-1,0,0.076923077,0.142857143
KO 807,f,psilocybin,ko,cell5,cell5_1,cell5_1,780+,FOV24-1,0,-0.130952381,-0.214285714
KO 807,f,psilocybin,ko,cell4,cell4_5,cell4_5,630,FOV24-2,0,0.109090909,-0.090909091
KO 807,f,psilocybin,ko,cell5,cell5_2,cell5_2,780+,FOV28-1,0,0.076923077,0.18974359
KO 807,f,psilocybin,ko,cell7,cell7_1,NA,500,FOV29-1,0,0.045454545,0.166666667
KO 807,f,psilocybin,ko,cell9,cell9_1,NA,630,FOV34-1,0,0.007894737,-0.013636364
KO 807,f,psilocybin,ko,cell11,cell11_1,NA,560,FOV36-1,0,0.0625,0.104166667
KO 835,m,psilocybin,ko,NA,NA,NA,NA,FOV1-1,0,-0.083333333,-0.083333333
KO 835,m,psilocybin,ko,cell11,cell11_1,NA,614,FOV4-1,0,-0.056410256,-0.133333333
KO 835,m,psilocybin,ko,NA,NA,NA,NA,FOV7-1,0,0.055263158,0.055263158
KO 835,m,psilocybin,ko,cell9,cell9_1,NA,750+,FOV8-1,0,0.087912088,-0.142857143
KO 835,m,psilocybin,ko,cell7,cell7_1,NA,580,FOV11-1,0,0,-0.076923077
KO 835,m,psilocybin,ko,NA,NA,NA,NA,FOV12-1,0,0.065934066,0.173076923
KO 835,m,psilocybin,ko,cell5,cell5_1,cell5_1,620,FOV14-1,0,-0.027777778,-0.031111111
KO 835,m,psilocybin,ko,cell5,cell5_2,cell5_2,620,FOV15-1,0,0.004597701,0.03908046
KO 835,m,psilocybin,ko,cell1,cell1_1,NA,580,FOV16-1,0,0.009803922,-0.104166667
KO 835,m,psilocybin,ko,cell3,cell3_1,cell3_1,610,FOV18-1,0,0.120833333,0.120833333
KO 835,m,psilocybin,ko,cell2,cell2_1,NA,590,FOV19-1,0,0.041666667,0.025
KO 835,m,psilocybin,ko,cell3,cell3_2,cell3_2,610,FOV19-2,0,0.016666667,-0.083333333
KO 903,m,psilocybin,ko,NA,NA,NA,NA,FOV1-1,0,0.076923077,0.083333333
KO 903,m,psilocybin,ko,NA,NA,NA,NA,FOV2-1,0,0.116071429,0.005494505
KO 903,m,psilocybin,ko,NA,NA,NA,NA,FOV7-1,0,-0.073043478,-0.116521739
KO 903,m,psilocybin,ko,NA,NA,NA,NA,FOV9-1,0,-0.111111111,-0.111111111
KO 903,m,psilocybin,ko,NA,NA,NA,NA,FOV11-1,0,0,0.181818182
