mouse_id,sex,treatment,genotype,cell_id,branch_id,multibranch_id,soma_depth,fov,day_-1,day_1,day_3
KO 807,f,psilocybin,ko,cell4,cell4_4,cell4_4,630,FOV21-1,0,0.083333333,-0.05
KO 807,f,psilocybin,ko,NA,NA,NA,NA,FOV23-1,0,-0.027972028,-0.11038961
KO 807,f,psilocybin,ko,cell5,cell5_1,cell5_1,780+,FOV24-1,0,-0.071428571,0.150793651
KO 807,f,psilocybin,ko,cell4,cell4_5,cell4_5,630,FOV24-2,0,0.1,0.222222222
KO 807,f,psilocybin,ko,cell5,cell5_2,cell5_2,780+,FOV28-1,0,0.230769231,0.056410256
KO 807,f,psilocybin,ko,cell7,cell7_1,NA,500,FOV29-1,0,0.088744589,-0.005952381
KO 807,f,psilocybin,ko,cell9,cell9_1,NA,630,FOV34-1,0,0.163157895,0.036363636
KO 807,f,psilocybin,ko,cell11,cell11_1,NA,560,FOV36-1,0,0.125,0.048611111
KO 835,m,psilocybin,ko,NA,NA,NA,NA,FOV1-1,0,0,0.090909091
KO 835,m,psilocybin,ko,cell11,cell11_1,NA,614,FOV4-1,0,0,0.083333333
KO 835,m,psilocybin,ko,NA,NA,NA,NA,FOV7-1,0,0.105263158,0.052631579
KO 835,m,psilocybin,ko,cell9,cell9_1,NA,750+,FOV8-1,0,-0.071428571,0.095238095
KO 835,m,psilocybin,ko,cell7,cell7_1,NA,580,FOV11-1,0,0,0
KO 835,m,psilocybin,ko,NA,NA,NA,NA,FOV12-1,0,-0.153846154,-0.070512821
KO 835,m,psilocybin,ko,cell5,cell5_1,cell5_1,620,FOV14-1,0,0.125,0.08
KO 835,m,psilocybin,ko,cell5,cell5_2,cell5_2,620,FOV15-1,0,-0.065517241,0.037931034
KO 835,m,psilocybin,ko,cell1,cell1_1,NA,580,FOV16-1,0,0.006535948,-0.048611111
KO 835,m,psilocybin,ko,cell3,cell3_1,cell3_1,610,FOV18-1,0,-0.070833333,-0.008333333
KO 835,m,psilocybin,ko,cell2,cell2_1,NA,590,FOV19-1,0,-0.08,-0.03
KO 835,m,psilocybin,ko,cell3,cell3_2,cell3_2,610,FOV19-2,0,0.016666667,-0.083333333
KO 903,m,psilocybin,ko,NA,NA,NA,NA,FOV1-1,0,-0.083333333,0
KO 903,m,psilocybin,ko,NA,NA,NA,NA,FOV2-1,0,-0.214285714,-0.137362637
KO 903,m,psilocybin,ko,NA,NA,NA,NA,FOV7-1,0,-0.033043478,0.010434783
KO 903,m,psilocybin,ko,NA,NA,NA,NA,FOV9-1,0,0.111111111,0
KO 903,m,psilocybin,ko,NA,NA,NA,NA,FOV11-1,0,0,0.090909091
KO 903,m,psilocybin,ko,NA,NA,NA,NA,FOV12-1,0,-0.090909091,-0.007575758
KO 903,m,psilocybin,ko,NA,NA,NA,NA,FOV13-1,0,-0.080357143,-0.084033613
KO 903,m,psilocybin,ko,NA,NA,NA,NA,FOV15-1,0,0,0.142857143
KO 903,m,psilocybin,ko,NA,NA,NA,NA,FOV18-1,0,0.058823529,0
KO 903,m,psilocybin,ko,NA,NA,NA,NA,FOV18-2,0,-0.058479532,0
KO 903,m,psilocybin,ko,NA,NA,NA,NA,FOV20-1,0,0.153846154,0
KO 903,m,psilocybin,ko,NA,NA,NA,NA,FOV21-1,0,-0.004761905,-0.071428571
KO 3045,f,saline,ko,NA,NA,NA,NA,FOV1-1,0,-0.125,-0.125
KO 3045,f,saline,ko,NA,NA,NA,NA,FOV6-1,0,0.046783626,-0.058479532
KO 3045,f,saline,ko,NA,NA,NA,NA,FOV8-1,0,0.109090909,-0.090909091
KO 3139,f,saline,ko,cell1,cell1_1,cell1_1,670,FOV2-1,0,0.166666667,0.153846154
KO 3139,f,saline,ko,cell1,cell1_2,cell1_2,670,FOV2-2,0,0.1,-0.016666667
KO 3139,f,saline,ko,NA,NA,NA,NA,FOV4-1,0,-0.333333333,-0.233333333
KO 3139,f,saline,ko,cell2,cell2_1,cell2_1,601,FOV8-1,0,-0.004166667,-0.004166667
KO 3139,f,saline,ko,cell2,cell2_2,cell2_2,601,FOV8-2,0,0.090909091,0
KO 3139,f,saline,ko,cell4,cell4_1,NA,630,FOV10-1,0,-0.074162679,-0.210526316
KO 3139,f,saline,ko,cell3,cell3_1,NA,670,FOV9-1,0,0.2,0.1
KO 3139,f,saline,ko,NA,NA,NA,NA,FOV16-1,0,0.00952381,-0.061904762
KO 3041,m,saline,ko,cell1,cell1_1,cell1_1,720,FOV1-1,0,0,0
KO 3041,m,saline,ko,NA,NA,NA,NA,FOV3-1,0,-0.066666667,-0.066666667
KO 3041,m,saline,ko,cell1,cell1_2,cell1_2,720,FOV5-1,0,0,0
KO 823,f,saline,ko,cell2,cell2_1,NA,520,FOV5-1,0,0.074509804,0.066176471
KO 823,f,saline,ko,cell1,cell1_1,cell1_1,820,FOV6-1,0,-0.066666667,0.107692308
KO 823,f,saline,ko,cell1,cell1_2,cell1_2,820,FOV9-1,0,0,0
KO 823,f,saline,ko,cell3,cell3_1,cell3_1,730,FOV11-1,0,-0.058333333,-0.058333333
KO 823,f,saline,ko,cell3,cell3_2,cell3_2,730,FOV12-1,0,0.076923077,0
KO 823,f,saline,ko,cell3,cell3_3,cell3_3,730,FOV16-1,0,-0.006410256,0.147435897
KO 823,f,saline,ko,cell5,cell5_1,cell5_1,670,FOV21-1,0,-0.169590643,-0.169590643
