mouse_id,sex,treatment,genotype,cell_id,branch_id,multibranch_id,soma_depth,fov,day_-3,day_-1,day_1,day_3
C57 JAX,m,saline,c57,cell4,cell4_1,NA,560,FOV2-1,1.566392,1.237999,1.236235,1.349518
C57 JAX,m,saline,c57,cell3,cell3_1,cell3_1,550,FOV5-1,1.310253,1.305642,1.305924,1.379970
C57 JAX,m,saline,c57,cell1,cell1_1,NA,475,FOV7-1,1.251323,1.208917,1.229340,1.339910
C57 JAX,m,saline,c57,cell5,cell5_1,cell5_1,484,FOV9-1,1.427660,1.331639,1.214670,1.310088
C57 JAX,m,saline,c57,NA,NA,NA,NA,FOV10-1,1.414270,1.456339,1.522481,1.345052
C57 JAX,m,saline,c57,cell5,cell5_2,cell5_2,484,FOV11-1,1.077065,0.991990,1.053455,1.145700
C57 JAX,m,saline,c57,cell6,cell6_1,cell6_1,530,FOV14-1,1.249950,1.380236,1.170934,1.297331
C57 JAX,m,saline,c57,cell6,cell6_2,cell6_2,530,FOV17-1,1.197224,1.511640,1.352230,1.292582
C57 JAX,m,saline,c57,cell6,cell6_3,cell6_3,530,FOV18-1,1.317270,1.380945,1.285289,1.362156
C57 JAX,m,saline,c57,cell3,cell3_2,cell3_2,550,FOV19-1,1.234485,1.347868,1.270286,1.350102
C57 JAX,m,saline,c57,cell5,cell5_3,cell5_3,484,FOV22-1,1.259593,1.403521,1.227330,1.247786
C57 JAX,m,saline,c57,cell6,cell6_4,cell6_4,530,FOV24-1,1.322100,1.083030,1.165985,1.144536
C57 JAX,m,saline,c57,cell6,cell6_5,cell6_5,530,FOV26-1,1.438320,1.328990,1.360723,1.341347
C57 549160-2,m,saline,c57,NA,NA,NA,NA,FOV16-1,1.368190,1.292190,1.334859,1.388330
C57 549160-2,m,saline,c57,NA,NA,NA,NA,FOV17-1,1.230285,1.254143,1.152392,1.142128
C57 549160-2,m,saline,c57,NA,NA,NA,NA,FOV23-1,1.534899,1.519430,1.312330,1.369900
C57 842,m,saline,c57,NA,NA,NA,NA,FOV2-1,1.202890,1.309649,1.276496,1.085004
C57 842,m,saline,c57,NA,NA,NA,NA,FOV3-1,1.290369,1.334541,1.226849,1.342557
