mouse_id,sex,treatment,genotype,cell_id,branch_id,multibranch_id,soma_depth,fov,day_-3,day_-1,day_1,day_3
C57 1-1,f,saline,c57,cell16,cell16_1,NA,640,FOV39-1,0.740600,0.792000,0.711138,0.710400
C57 1-1,f,saline,c57,cell15,cell15_1,NA,770,FOV40-1,0.843067,0.866880,0.845657,0.866400
C57 1-1,f,saline,c57,NA,NA,NA,NA,FOV42-1,0.737937,0.772000,0.822900,0.780000
C57 1-1,f,saline,c57,cell14,cell14_1,cell14_1,660,FOV47-1,0.770400,0.814500,0.771000,0.835650
C57 1-1,f,saline,c57,cell14,cell14_2,cell14_2,660,FOV47-2,0.747106,0.774400,0.742667,0.830533
C57 844,f,saline,c57,cell2,cell2_1,NA,640,FOV7-1,0.7674,0.810171,0.888000,0.802200
C57 844,f,saline,c57,cell3,cell3_1,NA,660,FOV9-1,1.012,0.964000,0.924000,0.846400
C57 844,f,saline,c57,NA,NA,NA,NA,FOV12-1,0.761314286,0.799360,0.722769,0.785200
C57 3163,f,saline,c57,cell1,cell1_1,NA,500,FOV4-1,0.925714286,0.921067,0.903733,0.897300
C57 3163,f,saline,c57,cell2,cell2_1,cell2_1,NA,FOV7-1,1.05528,0.971040,0.922320,0.904267
C57 3163,f,saline,c57,cell2,cell2_2,cell2_2,NA,FOV7-2,0.89928,0.954600,0.969120,0.838691
C57 3163,f,saline,c57,cell2,cell2_3,cell2_3,NA,FOV8-1,0.907905882,0.841418,0.841412,0.813979
C57 3163,f,saline,c57,cell2,cell2_4,cell2_4,NA,FOV9-1,0.8928,0.958933,0.906933,0.803782
C57 JAX,m,saline,c57,cell2,cell2_1,NA,490,FOV1-1,0.91605,0.956133,0.880480,0.967867
C57 JAX,m,saline,c57,cell4,cell4_1,NA,560,FOV2-1,0.8706,0.881829,0.862200,0.847418
C57 JAX,m,saline,c57,cell3,cell3_1,cell3_1,550,FOV5-1,0.86816,0.858400,0.878571,0.796800
C57 JAX,m,saline,c57,cell1,cell1_1,NA,475,FOV7-1,0.882365217,0.831744,0.880700,0.865768
C57 JAX,m,saline,c57,cell5,cell5_1,cell5_1,484,FOV9-1,0.896914286,0.910050,0.876738,0.992000
C57 JAX,m,saline,c57,NA,NA,NA,NA,FOV10-1,0.815873684,0.824800,0.858667,0.877600
C57 JAX,m,saline,c57,cell5,cell5_2,cell5_2,484,FOV11-1,0.836752941,0.916431,0.891771,0.885785
C57 JAX,m,saline,c57,cell6,cell6_1,cell6_1,530,FOV14-1,0.857684211,0.875160,0.903000,0.868941
C57 JAX,m,saline,c57,cell6,cell6_2,cell6_2,530,FOV17-1,0.892235294,0.872914286,0.948554,0.909150
C57 JAX,m,saline,c57,cell6,cell6_3,cell6_3,530,FOV18-1,0.871384615,0.82653913,0.857376,0.861984
C57 JAX,m,saline,c57,cell3,cell3_2,cell3_2,550,FOV19-1,0.843,0.852,0.850400,0.855360
C57 JAX,m,saline,c57,cell5,cell5_3,cell5_3,484,FOV22-1,0.885704348,0.991418182,0.951663,0.934024
C57 JAX,m,saline,c57,cell6,cell6_4,cell6_4,530,FOV24-1,0.910736842,0.852252632,0.939529,0.901800
C57 JAX,m,saline,c57,cell6,cell6_5,cell6_5,530,FOV26-1,0.998778947,0.989431579,0.984600,0.922267
C57 549160-2,m,saline,c57,NA,NA,NA,NA,FOV16-1,0.811015,0.907015,0.833829,0.928062
C57 549160-2,m,saline,c57,NA,NA,NA,NA,FOV17-1,1.030909,0.877200,0.957600,0.920400
C57 549160-2,m,saline,c57,NA,NA,NA,NA,FOV23-1,0.827800,0.892615,0.820800,0.847938
C57 842,m,saline,c57,NA,NA,NA,NA,FOV2-1,0.861943,0.783467,0.910800,0.835200
C57 842,m,saline,c57,NA,NA,NA,NA,FOV3-1,0.859800,0.832560,0.881520,0.826473
