mouse_id,sex,treatment,genotype,cell_id,branch_id,multibranch_id,soma_depth,fov,day_-1,day_1,day_3
KO 3042,m,psilocybin,ko,cell1,cell1_2,cell1_2,555,FOV4-1,0.000000,0.055556,0.055556
KO 3042,m,psilocybin,ko,cell1,cell1_3,cell1_3,555,FOV4-2,0.117647,0.062500,0.125000
KO 3042,m,psilocybin,ko,cell7,cell7_1,NA,504,FOV6-1,0.214286,0.000000,0.176471
KO 3042,m,psilocybin,ko,NA,NA,NA,NA,FOV6-2,0.100000,0.000000,0.200000
KO 3042,m,psilocybin,ko,cell6,cell6_1,NA,570,FOV7-1,0.117647,0.000000,0.176471
KO 3042,m,psilocybin,ko,cell4,cell4_1,NA,533,FOV10-1,0.176471,0.000000,0.062500
KO 3042,m,psilocybin,ko,NA,NA,NA,NA,FOV10-2,0.000000,0.111111,0.125000
KO 3042,m,psilocybin,ko,cell11,cell11_1,NA,750+,FOV11-1,0.181818,0.000000,0.222222
KO 807,f,psilocybin,ko,cell2,cell2_1,cell2_1,630,FOV1-1,0.066667,0.200000,0.000000
KO 807,f,psilocybin,ko,cell2,cell2_2,cell2_2,630,FOV3-1,0.153846,0.000000,0.142857
KO 807,f,psilocybin,ko,cell1,cell1_1,cell1_1,750,FOV6-1,0.333333,0.266667,0.076923
KO 807,f,psilocybin,ko,cell1,cell1_2,cell1_2,750,FOV9-1,0.100000,0.142857,0.055556
KO 807,f,psilocybin,ko,cell2,cell2_3,cell2_3,630,FOV10-1,0.000000,0.176471,0.200000
KO 807,f,psilocybin,ko,cell1,cell1_3,cell1_3,750,FOV12-1,0.250000,0.076923,0.071429
KO 807,f,psilocybin,ko,cell4,cell4_1,cell4_1,630,FOV17-1,0.133333,0.214286,0.000000
KO 807,f,psilocybin,ko,cell4,cell4_2,cell4_2,630,FOV19-1,0.083333,0.083333,0.083333
KO 807,f,psilocybin,ko,cell4,cell4_3,cell4_3,630,FOV19-2,0.076923,0.235294,0.142857
KO 807,f,psilocybin,ko,cell4,cell4_4,cell4_4,630,FOV21-1,0.000000,0.333333,0.333333
KO 807,f,psilocybin,ko,NA,NA,NA,NA,FOV23-1,0.000000,0.076923,0.142857
KO 807,f,psilocybin,ko,cell5,cell5_1,cell5_1,780+,FOV24-1,0.214286,0.083333,0.000000
KO 807,f,psilocybin,ko,cell4,cell4_5,cell4_5,630,FOV24-2,0.090909,0.200000,0.000000
KO 807,f,psilocybin,ko,cell5,cell5_2,cell5_2,780+,FOV28-1,0.076923,0.153846,0.266667
KO 807,f,psilocybin,ko,cell7,cell7_1,NA,500,FOV29-1,0.000000,0.045455,0.166667
KO 807,f,psilocybin,ko,cell9,cell9_1,NA,630,FOV34-1,0.150000,0.157895,0.136364
KO 807,f,psilocybin,ko,cell11,cell11_1,NA,560,FOV36-1,0.062500,0.125000,0.166667
KO 835,m,psilocybin,ko,NA,NA,NA,NA,FOV1-1,0.083333,0.000000,0.000000
KO 835,m,psilocybin,ko,cell11,cell11_1,NA,614,FOV4-1,0.133333,0.076923,0.000000
KO 835,m,psilocybin,ko,NA,NA,NA,NA,FOV7-1,0.050000,0.105263,0.105263
KO 835,m,psilocybin,ko,cell9,cell9_1,NA,750+,FOV8-1,0.142857,0.230769,0.000000
KO 835,m,psilocybin,ko,cell7,cell7_1,NA,580,FOV11-1,0.153846,0.153846,0.076923
KO 835,m,psilocybin,ko,NA,NA,NA,NA,FOV12-1,0.076923,0.142857,0.250000
KO 835,m,psilocybin,ko,cell5,cell5_1,cell5_1,620,FOV14-1,0.111111,0.083333,0.080000
KO 835,m,psilocybin,ko,cell5,cell5_2,cell5_2,620,FOV15-1,0.133333,0.137931,0.172414
KO 835,m,psilocybin,ko,cell1,cell1_1,NA,580,FOV16-1,0.166667,0.176471,0.062500
KO 835,m,psilocybin,ko,cell3,cell3_1,cell3_1,610,FOV18-1,0.066667,0.187500,0.187500
KO 835,m,psilocybin,ko,cell2,cell2_1,NA,590,FOV19-1,0.125000,0.166667,0.150000
KO 835,m,psilocybin,ko,cell3,cell3_2,cell3_2,610,FOV19-2,0.083333,0.100000,0.000000
KO 903,m,psilocybin,ko,NA,NA,NA,NA,FOV1-1,0.000000,0.076923,0.083333
KO 903,m,psilocybin,ko,NA,NA,NA,NA,FOV2-1,0.071429,0.187500,0.076923
KO 903,m,psilocybin,ko,NA,NA,NA,NA,FOV7-1,0.160000,0.086957,0.043478
KO 903,m,psilocybin,ko,NA,NA,NA,NA,FOV9-1,0.111111,0.000000,0.000000
KO 903,m,psilocybin,ko,NA,NA,NA,NA,FOV11-1,0.000000,0.000000,0.181818
KO 903,m,psilocybin,ko,NA,NA,NA,NA,FOV12-1,0.000000,0.000000,0.083333
KO 903,m,psilocybin,ko,NA,NA,NA,NA,FOV13-1,0.000000,0.176471,0.000000
KO 903,m,psilocybin,ko,NA,NA,NA,NA,FOV15-1,0.066667,0.000000,0.071429
KO 903,m,psilocybin,ko,NA,NA,NA,NA,FOV18-1,0.150000,0.000000,0.166667
KO 903,m,psilocybin,ko,NA,NA,NA,NA,FOV18-2,0.055556,0.105263,0.111111
KO 903,m,psilocybin,ko,NA,NA,NA,NA,FOV20-1,0.000000,0.000000,0.133333
KO 903,m,psilocybin,ko,NA,NA,NA,NA,FOV21-1,0.000000,0.000000,0.125000
