mouse_id,sex,treatment,genotype,cell_id,branch_id,multibranch_id,soma_depth,fov,day_1_existing,day_1_new,day_3_existing,day_3_new1,day_3_new3,day_3_allnew
KO 807,f,psilocybin,ko,cell4,cell4_5,cell4_5,630,FOV24-2,0.957,0.6864,0.9219,1.0296,0.8388,0.9024
KO 807,f,psilocybin,ko,cell5,cell5_2,cell5_2,780+,FOV28-1,0.956072727,0.9054,0.9816,0.7272,0.864,0.864
KO 807,f,psilocybin,ko,cell7,cell7_1,NA,500,FOV29-1,0.9536,0.7448,0.9624,0.8208,0.8088,0.8148
KO 807,f,psilocybin,ko,cell9,cell9_1,NA,630,FOV34-1,0.9591,0.8164,0.984685714,0.7584,0.8768,0.8028
KO 807,f,psilocybin,ko,cell11,cell11_1,NA,560,FOV36-1,1.099371429,0.873,1.019261538,0.8928,0.894,0.8934
KO 835,m,psilocybin,ko,NA,NA,NA,NA,FOV1-1,0.854836364,NA,0.824072727,NA,0.7848,0.7848
KO 835,m,psilocybin,ko,NA,NA,NA,NA,FOV7-1,0.793552941,0.8916,0.7866,0.7272,0.756,0.7416
KO 835,m,psilocybin,ko,cell9,cell9_1,NA,750+,FOV8-1,0.7992,NA,0.83448,NA,0.8292,0.8292
KO 835,m,psilocybin,ko,cell7,cell7_1,NA,580,FOV11-1,0.859636364,0.7596,0.973527273,1.0776,NA,1.0776
KO 835,m,psilocybin,ko,cell5,cell5_1,cell5_1,620,FOV14-1,0.911454545,0.8216,0.916363636,0.7344,0.7368,0.736
KO 835,m,psilocybin,ko,cell5,cell5_2,cell5_2,620,FOV15-1,0.893184,0.7224,0.926514286,NA,0.9132,0.9132
KO 835,m,psilocybin,ko,cell1,cell1_1,NA,580,FOV16-1,0.8412,0.9792,0.819323077,0.8628,0.54,0.7552
KO 835,m,psilocybin,ko,cell3,cell3_1,cell3_1,610,FOV18-1,0.829476923,0.6744,0.8808,0.5424,0.7872,0.8104
KO 835,m,psilocybin,ko,cell2,cell2_1,NA,590,FOV19-1,0.90408,NA,0.863435294,NA,0.6048,0.6048
KO 903,m,psilocybin,ko,NA,NA,NA,NA,FOV1-1,0.8654,NA,0.915490909,NA,0.7728,0.7728
KO 903,m,psilocybin,ko,NA,NA,NA,NA,FOV7-1,0.900342857,0.9,0.94236,0.8424,0.7016,0.75792
KO 903,m,psilocybin,ko,NA,NA,NA,NA,FOV9-1,0.8637,0.732,0.8517,0.7848,NA,0.7848
KO 903,m,psilocybin,ko,NA,NA,NA,NA,FOV13-1,0.88335,0.6216,0.850971429,NA,0.792,0.792
KO 903,m,psilocybin,ko,NA,NA,NA,NA,FOV18-2,0.915105882,0.8568,0.86175,NA,0.7716,0.7716
KO 903,m,psilocybin,ko,NA,NA,NA,NA,FOV20-1,0.922338462,0.7356,0.8388,0.6288,NA,0.6288
KO 3139,f,saline,ko,cell1,cell1_1,cell1_1,670,FOV2-1,0.797236364,0.7284,0.7584,NA,0.6864,0.6864
KO 3139,f,saline,ko,cell1,cell1_2,cell1_2,670,FOV2-2,0.75456,0.5196,0.68112,0.51,0.6744,0.5648
KO 3139,f,saline,ko,NA,NA,NA,NA,FOV4-1,0.76944,NA,0.87552,NA,0.6648,0.6648
KO 3139,f,saline,ko,cell2,cell2_1,cell2_1,601,FOV8-1,0.79088,0.9528,0.8008,NA,0.7056,0.7056
KO 3139,f,saline,ko,cell2,cell2_2,cell2_2,601,FOV8-2,0.948218182,0.7032,0.87384,NA,NA,NA
KO 3139,f,saline,ko,cell4,cell4_1,NA,630,FOV10-1,0.841136842,0.7456,0.888141176,0.6876,NA,0.6876
KO 3139,f,saline,ko,cell3,cell3_1,NA,670,FOV9-1,0.816,0.8412,0.7689,0.7248,0.7272,0.7256
KO 3139,f,saline,ko,NA,NA,NA,NA,FOV16-1,0.8524,0.6648,0.826690909,0.8964,0.8616,0.8848
KO 3041,m,saline,ko,cell1,cell1_1,cell1_1,720,FOV1-1,0.9834,0.7632,0.8304,0.8616,0.7272,0.7944
