mouse_id,sex,treatment,genotype,cell_id,branch_id,multibranch_id,soma_depth,fov,new,day_1,day_3
KO 903,m,psilocybin,ko,NA,NA,NA,NA,FOV1-1,0,0.8654,0.915490909
KO 903,m,psilocybin,ko,NA,NA,NA,NA,FOV7-1,0,0.900342857,0.94236
KO 903,m,psilocybin,ko,NA,NA,NA,NA,FOV9-1,0,0.8637,0.8517
KO 903,m,psilocybin,ko,NA,NA,NA,NA,FOV13-1,0,0.88335,0.850971429
KO 903,m,psilocybin,ko,NA,NA,NA,NA,FOV18-2,0,0.915105882,0.86175
KO 903,m,psilocybin,ko,NA,NA,NA,NA,FOV20-1,0,0.922338462,0.8388
KO 3139,f,saline,ko,cell1,cell1_1,cell1_1,670,FOV2-1,0,0.797236364,0.7584
KO 3139,f,saline,ko,cell1,cell1_2,cell1_2,670,FOV2-2,0,0.75456,0.68112
KO 3139,f,saline,ko,NA,NA,NA,NA,FOV4-1,0,0.76944,0.87552
KO 3139,f,saline,ko,cell2,cell2_1,cell2_1,601,FOV8-1,0,0.79088,0.8008
KO 3139,f,saline,ko,cell2,cell2_2,cell2_2,601,FOV8-2,0,0.948218182,0.87384
KO 3139,f,saline,ko,cell4,cell4_1,NA,630,FOV10-1,0,0.841136842,0.888141176
KO 3139,f,saline,ko,cell3,cell3_1,NA,670,FOV9-1,0,0.816,0.7689
KO 3139,f,saline,ko,NA,NA,NA,NA,FOV16-1,0,0.8524,0.826690909
KO 3041,m,saline,ko,cell1,cell1_1,cell1_1,720,FOV1-1,0,0.9834,0.8304
KO 823,f,saline,ko,cell2,cell2_1,NA,520,FOV5-1,0,0.889542857,0.894092308
KO 823,f,saline,ko,cell1,cell1_1,cell1_1,820,FOV6-1,0,0.865527273,0.826909091
KO 823,f,saline,ko,cell3,cell3_1,cell3_1,730,FOV11-1,0,0.9264,0.9454
KO 823,f,saline,ko,cell3,cell3_2,cell3_2,730,FOV12-1,0,0.9192,0.93672
KO 823,f,saline,ko,cell3,cell3_3,cell3_3,730,FOV16-1,0,0.8568,0.945163636
KO 823,f,saline,ko,cell5,cell5_1,cell5_1,670,FOV21-1,0,0.866133333,0.84576
KO 823,f,saline,ko,cell5,cell5_2,cell5_2,670,FOV23-1,0,0.851866667,0.9222
KO 823,f,saline,ko,cell9,cell9_1,cell9_1,660,FOV31-1,0,0.951388235,0.98272
KO 823,f,saline,ko,cell9,cell9_2,cell9_2,660,FOV32-1,0,0.91272,0.943452632
KO 823,f,saline,ko,cell9,cell9_3,cell9_3,660,FOV34-1,0,0.8828,0.823854545
KO 823,f,saline,ko,cell9,cell9_4,cell9_4,660,FOV35-1,0,0.8608,0.8994
KO 823,f,saline,ko,NA,NA,NA,NA,FOV39-1,0,0.87648,0.96464
KO 834,m,saline,ko,NA,NA,NA,NA,FOV1-1,0,0.9297,0.95504
KO 834,m,saline,ko,NA,NA,NA,NA,FOV2-1,0,0.89064,0.92256
KO 834,m,saline,ko,NA,NA,NA,NA,FOV4-1,0,0.83928,0.80112
C57 1-2,f,psilocybin,c57,cell6,cell6_1,NA,660,FOV7-1,0,0.911632,0.99176375
C57 1-2,f,psilocybin,c57,cell5,cell5_1,NA,550,FOV9-1,0,1.075116667,1.09687
C57 1-2,f,psilocybin,c57,cell4,cell4_1,cell4_1,580,FOV10-1,0,0.991808571,1.039893
C57 1-2,f,psilocybin,c57,cell3,cell3_1,cell3_1,650,FOV12-1,0,1.024466154,1.016048
C57 1-2,f,psilocybin,c57,NA,NA,NA,NA,FOV14-1,0,0.945015,1.018522143
C57 1-2,f,psilocybin,c57,cell9,cell9_1,NA,680,FOV18-1,0,0.913891,0.920713636
C57 1-2,f,psilocybin,c57,cell8,cell8_1,cell8_1,550,FOV20-1,0,0.844458125,0.905930714
C57 1-2,f,psilocybin,c57,cell3,cell3_3,cell3_3,650,FOV21-1,0,0.939330588,0.959410588
C57 1-2,f,psilocybin,c57,cell4,cell4_2,cell4_2,580,FOV25-1,0,0.9669775,0.932980211
C57 1-2,f,psilocybin,c57,cell7,cell7_1,NA,760,FOV26-1,0,0.945911429,1.04416
C57 1-2,f,psilocybin,c57,cell8,cell8_2,cell8_2,550,FOV28-1,0,0.8283,0.819305833
C57 1-2,f,psilocybin,c57,cell17,cell17_1,NA,540,FOV32-1,0,0.940565455,0.885801818
C57 1-2,f,psilocybin,c57,cell18,cell18_1,NA,710,FOV32-2,0,0.94376,1.04259125
C57 1-2,f,psilocybin,c57,cell16,cell16_1,cell16_1,660,FOV35-1,0,0.907250909,0.849133
C57 1-2,f,psilocybin,c57,cell16,cell16_2,cell16_2,660,FOV37-1,0,0.903767333,0.944835714
C57 1-2,f,psilocybin,c57,cell14,cell14_1,NA,640,FOV40-1,0,0.967490909,0.938991
C57 1-2,f,psilocybin,c57,cell12,cell12_1,cell12_1,710,FOV43-1,0,0.950732222,0.924516667
C57 1-2,f,psilocybin,c57,cell12,cell12_2,cell12_2,710,FOV43-2,0,1.080669091,1.126761818
