mouse_id,sex,treatment,genotype,cell_id,branch_id,multibranch_id,soma_depth,fov,day_-3,day_-1,day_1,day_3
C57 1-2,f,psilocybin,c57,cell3,cell3_1,cell3_1,650,FOV12-1,0.523943076,0.497651087,0.623518413,0.608321596
C57 1-2,f,psilocybin,c57,cell2,cell2_1,NA,560,FOV13-1,0.639799359,0.664901133,0.812356759,0.779094787
C57 1-2,f,psilocybin,c57,cell3,cell3_2,cell3_2,650,FOV13-2,0.385264831,0.490473105,0.56619579,0.536834929
C57 1-2,f,psilocybin,c57,NA,NA,NA,NA,FOV14-1,0.567028431,0.608678715,0.671110011,0.667348845
C57 1-2,f,psilocybin,c57,cell9,cell9_1,NA,680,FOV18-1,0.6144302,0.597797415,0.639742056,0.728255967
C57 1-2,f,psilocybin,c57,cell8,cell8_1,cell8_1,550,FOV20-1,0.499389863,0.514509314,0.566110369,0.504736806
C57 1-2,f,psilocybin,c57,cell3,cell3_3,cell3_3,650,FOV21-1,0.539470348,0.492328698,0.656403559,0.529335789
C57 1-2,f,psilocybin,c57,cell4,cell4_2,cell4_2,580,FOV25-1,0.510881782,0.551988858,0.697568972,0.714405782
C57 1-2,f,psilocybin,c57,cell7,cell7_1,NA,760,FOV26-1,0.378018954,0.408417365,0.626627451,0.620256448
C57 1-2,f,psilocybin,c57,cell8,cell8_2,cell8_2,550,FOV28-1,0.415696091,0.418427299,0.542099933,0.450075928
C57 1-2,f,psilocybin,c57,cell17,cell17_1,NA,540,FOV32-1,0.634242767,0.660993142,0.812642111,0.728868286
C57 1-2,f,psilocybin,c57,cell18,cell18_1,NA,710,FOV32-2,0.497928617,0.552608311,0.62336367,0.623106714
C57 1-2,f,psilocybin,c57,cell16,cell16_1,cell16_1,660,FOV35-1,0.455968188,0.464335449,0.519604235,0.478504491
C57 1-2,f,psilocybin,c57,cell16,cell16_2,cell16_2,660,FOV37-1,0.681942171,0.575227003,0.60020852,0.651595976
C57 1-2,f,psilocybin,c57,cell14,cell14_1,NA,640,FOV40-1,0.485781381,0.504327127,0.482980375,0.511781203
C57 1-2,f,psilocybin,c57,cell12,cell12_1,cell12_1,710,FOV43-1,0.457725607,0.571027221,0.732233031,0.685989109
C57 1-2,f,psilocybin,c57,cell12,cell12_2,cell12_2,710,FOV43-2,0.410606795,0.325901302,0.386513762,0.450777501
C57 845,f,psilocybin,c57,NA,NA,NA,NA,FOV3-1,0.7395637,0.717961163,0.818470677,0.969763493
C57 845,f,psilocybin,c57,NA,NA,NA,NA,FOV6-1,0.532218088,0.439824334,0.606240307,0.655375637
C57 845,f,psilocybin,c57,cell4,cell4_1,NA,590,FOV10-1,0.3967431,0.430853104,0.472710427,0.495889431
C57 845,f,psilocybin,c57,NA,NA,NA,NA,FOV11-1,0.468010461,0.419977489,0.517280621,0.497225191
C57 845,f,psilocybin,c57,cell3,cell3_1,NA,570,FOV11-2,0.371770707,0.374435422,0.43341557,0.464393553
C57 845,f,psilocybin,c57,cell2,cell2_1,NA,600,FOV12-1,0.362532617,0.35362664,0.364142605,0.390213805
C57 845,f,psilocybin,c57,cell6,cell6_1,NA,500,FOV14-1,0.510715745,0.525169964,0.685370761,0.734770054
C57 845,f,psilocybin,c57,NA,NA,NA,NA,FOV21-1,0.544835662,0.657695079,0.700851067,0.663267201
C57 812,f,psilocybin,c57,cell12,cell12_1,NA,600,FOV3-1,0.314526336,0.313382073,0.368080885,0.425016211
C57 812,f,psilocybin,c57,cell11,cell11_1,NA,550,FOV4-1,0.314508566,0.317061177,0.36983753,0.428935902
C57 812,f,psilocybin,c57,NA,NA,NA,NA,FOV6-1,0.34615601,0.381609476,0.40877082,0.524352381
C57 812,f,psilocybin,c57,cell8,cell8_1,NA,540,FOV7-1,0.570323366,0.524088414,0.666921332,0.606642891
C57 812,f,psilocybin,c57,cell7,cell7_1,NA,560,FOV8-1,0.490420293,0.473044249,0.476191837,0.499331894
C57 812,f,psilocybin,c57,cell6,cell6_1,cell6_1,580,FOV9-1,0.365560541,0.388310307,0.47324173,0.639057749
C57 812,f,psilocybin,c57,cell6,cell6_2,cell6_2,580,FOV11-1,0.567762448,0.50339857,0.581454267,0.581215771
C57 812,f,psilocybin,c57,cell6,cell6_3,cell6_3,580,FOV12-1,0.424513264,0.482130702,0.534385003,0.625295973
C57 3165,f,psilocybin,c57,cell3,cell3_1,NA,670,FOV2-1,0.520561846,0.527754801,0.561019815,0.517556152
C57 3165,f,psilocybin,c57,cell4,cell4_1,NA,540,FOV5-1,0.743727671,0.791160294,0.924983813,0.751244719
C57 3165,f,psilocybin,c57,cell5,cell5_1,NA,560,FOV7-1,0.405628995,0.413247218,0.438538019,0.427561833
C57 3165,f,psilocybin,c57,cell1,cell1_1,NA,690,FOV8-1,0.417849624,0.380613236,0.495589256,0.609726355
