mouse_id,sex,treatment,genotype,cell_id,branch_id,multibranch_id,soma_depth,fov,day_-3,day_-1,day_1,day_3
KO 3139,f,saline,ko,cell2,cell2_2,cell2_2,601,FOV8-2,0,0.021949829,0.123178946,-0.057112423
KO 3139,f,saline,ko,cell4,cell4_1,NA,630,FOV10-1,0,0.165658399,0.184722905,0.036898185
KO 3139,f,saline,ko,cell3,cell3_1,NA,670,FOV9-1,0,0.001160922,0.011001894,0.093271277
KO 3139,f,saline,ko,NA,NA,NA,NA,FOV16-1,0,-0.046172306,-0.086508849,-0.029993899
KO 3041,m,saline,ko,cell1,cell1_1,cell1_1,720,FOV1-1,0,0.050156969,0.046109091,-0.019963208
KO 3041,m,saline,ko,NA,NA,NA,NA,FOV3-1,0,-0.076743904,-0.08539839,-0.062643183
KO 3041,m,saline,ko,cell1,cell1_2,cell1_2,720,FOV5-1,0,0.062215309,0.064580782,0.001886199
KO 823,f,saline,ko,cell2,cell2_1,NA,520,FOV5-1,0,-0.098309381,-0.049447891,-0.093278561
KO 823,f,saline,ko,cell1,cell1_1,cell1_1,820,FOV6-1,0,0.018420168,-0.116121359,0.060928636
KO 823,f,saline,ko,cell1,cell1_2,cell1_2,820,FOV9-1,0,-0.163710597,-0.141379498,-0.163011609
KO 823,f,saline,ko,cell3,cell3_1,cell3_1,730,FOV11-1,0,-0.029373409,-0.049674713,-0.096886027
KO 823,f,saline,ko,cell3,cell3_2,cell3_2,730,FOV12-1,0,0.034540546,-0.061552537,-0.207960312
KO 823,f,saline,ko,cell3,cell3_3,cell3_3,730,FOV16-1,0,0.07282005,0.058367929,0.251519493
KO 823,f,saline,ko,cell5,cell5_1,cell5_1,670,FOV21-1,0,0.031095393,0.052000764,-0.053989854
KO 823,f,saline,ko,cell5,cell5_2,cell5_2,670,FOV23-1,0,0.106283581,0.003725446,0.096485229
KO 823,f,saline,ko,cell5,cell5_3,cell5_3,670,FOV25-1,0,0.173390179,0.123925558,0.075681741
KO 823,f,saline,ko,cell9,cell9_1,cell9_1,660,FOV31-1,0,-0.090296333,0.048908477,0.097537542
KO 823,f,saline,ko,cell9,cell9_2,cell9_2,660,FOV32-1,0,-0.01148452,-0.046947987,-0.089150986
KO 823,f,saline,ko,cell9,cell9_3,cell9_3,660,FOV34-1,0,0.056770947,-0.130070686,-0.00983909
KO 823,f,saline,ko,cell9,cell9_4,cell9_4,660,FOV35-1,0,0.122613444,0.054050188,0.097780914
KO 823,f,saline,ko,NA,NA,NA,NA,FOV39-1,0,-0.002168057,-0.045500251,-0.095205117
KO 834,m,saline,ko,NA,NA,NA,NA,FOV1-1,0,-0.004580321,-0.057749508,0.051358979
KO 834,m,saline,ko,NA,NA,NA,NA,FOV2-1,0,-0.012548459,0.109514381,0.137003417
KO 834,m,saline,ko,NA,NA,NA,NA,FOV4-1,0,0.18544143,-0.021033178,0.085153602
C57 1-2,f,psilocybin,c57,cell6,cell6_1,NA,660,FOV7-1,0,-0.086623747,0.171971828,-0.002177463
C57 1-2,f,psilocybin,c57,NA,NA,NA,NA,FOV7-2,0,-0.095751354,-0.067842446,0.067504488
C57 1-2,f,psilocybin,c57,cell5,cell5_1,NA,550,FOV9-1,0,0.135656592,0.1409319,0.125250983
C57 1-2,f,psilocybin,c57,cell4,cell4_1,cell4_1,580,FOV10-1,0,0.085623578,0.259826442,0.157802146
C57 1-2,f,psilocybin,c57,cell3,cell3_1,cell3_1,650,FOV12-1,0,-0.050181003,0.190049915,0.161045205
C57 1-2,f,psilocybin,c57,cell2,cell2_1,NA,560,FOV13-1,0,0.039233821,0.26970549,0.217717361
C57 1-2,f,psilocybin,c57,cell3,cell3_2,cell3_2,650,FOV13-2,0,0.273080399,0.469627499,0.393417944
C57 1-2,f,psilocybin,c57,NA,NA,NA,NA,FOV14-1,0,0.073453608,0.183556194,0.176923077
C57 1-2,f,psilocybin,c57,cell9,cell9_1,NA,680,FOV18-1,0,-0.02707026,0.041195657,0.185254186
C57 1-2,f,psilocybin,c57,cell8,cell8_1,cell8_1,550,FOV20-1,0,0.030275847,0.133604045,0.010706952
C57 1-2,f,psilocybin,c57,cell3,cell3_3,cell3_3,650,FOV21-1,0,-0.087385062,0.216755586,-0.018786127
C57 1-2,f,psilocybin,c57,cell4,cell4_2,cell4_2,580,FOV25-1,0,0.080462991,0.365421506,0.398377879
C57 1-2,f,psilocybin,c57,cell7,cell7_1,NA,760,FOV26-1,0,0.080415045,0.657661461,0.640807799
C57 1-2,f,psilocybin,c57,cell8,cell8_2,cell8_2,550,FOV28-1,0,0.006570205,0.304077534,0.082704259
C57 1-2,f,psilocybin,c57,cell17,cell17_1,NA,540,FOV32-1,0,0.042176871,0.281279272,0.149194479
C57 1-2,f,psilocybin,c57,cell18,cell18_1,NA,710,FOV32-2,0,0.109814324,0.251913726,0.251397676
C57 1-2,f,psilocybin,c57,cell16,cell16_1,cell16_1,660,FOV35-1,0,0.018350537,0.13956247,0.049425164
C57 1-2,f,psilocybin,c57,cell16,cell16_2,cell16_2,660,FOV37-1,0,-0.156487123,-0.119854227,-0.044499661
C57 1-2,f,psilocybin,c57,cell14,cell14_1,NA,640,FOV40-1,0,0.038177143,-0.005765981,0.053521652
C57 1-2,f,psilocybin,c57,cell12,cell12_1,cell12_1,710,FOV43-1,0,0.247531735,0.599720487,0.498690696
C57 1-2,f,psilocybin,c57,cell12,cell12_2,cell12_2,710,FOV43-2,0,-0.20629345,-0.058676654,0.097832542
C57 845,f,psilocybin,c57,NA,NA,NA,NA,FOV3-1,0,-0.02920984,0.106693956,0.311264321
C57 845,f,psilocybin,c57,NA,NA,NA,NA,FOV6-1,0,-0.173601304,0.139082494,0.23140429
C57 845,f,psilocybin,c57,cell4,cell4_1,NA,590,FOV10-1,0,0.08597504,0.191477375,0.249900581
C57 845,f,psilocybin,c57,NA,NA,NA,NA,FOV11-1,0,-0.102632261,0.105275767,0.062423241
C57 845,f,psilocybin,c57,cell3,cell3_1,NA,570,FOV11-2,0,0.00716763,0.165814202,0.249139711
