mouse_id,sex,treatment,cell_type,cell_id,branch_id,multibranch_id,soma_depth,fov,day_-3,day_-1,day_1,day_3,day_5,day_7,day_35,day_65
pons_08-1,m,psilocybin,pt,cell2,cell2_1,NA,NA,FOV2,1.11012,1.190438333,1.23178,1.27413,1.2417625,1.211116923,1.31769,1.179843077
pons_08-1,m,psilocybin,pt,cell3,cell3_1,NA,NA,FOV6-1,1.27204,1.45684,1.42384,1.58686,1.4762,1.45882,1.319706667,1.493946667
pons_08-1,m,psilocybin,pt,NA,NA,NA,NA,FOV6-2,1.3954325,1.399835556,1.5972,1.547348,1.225004,1.26104,1.48225,1.250621429
pons_08-1,m,psilocybin,pt,cell5,cell5_1,cell5_1,NA,FOV9-1,1.213909231,1.270096667,1.267215714,1.361451667,1.310150769,1.26456,1.155751667,1.010955
pons_08-1,m,psilocybin,pt,cell5,cell5_2,cell5_2,NA,FOV9-2,1.4026925,1.527423333,1.608608571,1.44474,1.630388571,1.60567,1.704717143,1.519155
pons_08-1,m,psilocybin,pt,cell4,cell4_1,cell4_1,NA,FOV10-1,1.14345,1.043746,1.32011,1.196038462,1.190236667,1.163751111,1.44628,1.032264444
pons_08-1,m,psilocybin,pt,cell4,cell4_2,cell4_2,NA,FOV12-1,1.419848571,1.39876,1.432102222,1.3915,1.487493333,1.70126,1.151574286,1.544444
pons_08-1,m,psilocybin,pt,cell6,cell6_1,NA,NA,FOV14-1,1.698302222,1.614408889,1.473511111,1.49226,1.702268333,1.682458462,1.41207,1.60688
pons_09-2,m,psilocybin,pt,cell1,cell1_1,NA,NA,FOV3-1,1.309825,1.14444,1.205482667,1.18353125,1.165921429,1.223068,1.460066667,1.527826667
pons_09-2,m,psilocybin,pt,cell2,cell2_1,NA,NA,FOV4-1,1.495076,1.315028,1.562244444,1.36654375,1.48451875,1.428337778,1.380396471,1.216453333
pons_09-2,m,psilocybin,pt,NA,NA,NA,NA,FOV10-1,1.04665,1.056423077,1.211936,1.19548,1.133205333,1.061076923,1.1419375,1.140006154
pons_09-2,m,psilocybin,pt,NA,NA,NA,NA,FOV12-1,1.27670125,1.232349412,1.321574737,1.395703158,1.4202375,1.388697895,1.2508375,1.22331
pons_09-2,m,psilocybin,pt,cell3,cell3_1,cell3_1,NA,FOV14-1,1.508656471,1.383093684,1.43748,1.303842222,1.266005714,1.370204,1.344808235,1.356544444
